query_index,query_title,query_label,recommended_rank,recommended_title,recommended_label,similarity_score,same_label
5,CiteBART: Learning to Generate Citations for Local Citation Recommendation,citation_recommendation,5,Large-scale Evaluation of Transformer-based Article Encoders on the Task of Citation Recommendation,citation_recommendation,0.9335983991622925,1
6,ILCiteR: Evidence-grounded Interpretable Local Citation Recommendation,citation_recommendation,1,Navigation-based candidate expansion and pretrained language models for citation recommendation,citation_recommendation,0.9414659142494202,1
6,ILCiteR: Evidence-grounded Interpretable Local Citation Recommendation,citation_recommendation,2,CiteBART: Learning to Generate Citations for Local Citation Recommendation,citation_recommendation,0.9410357475280762,1
6,ILCiteR: Evidence-grounded Interpretable Local Citation Recommendation,citation_recommendation,3,A Hybrid Citation Recommendation Model With SciBERT and GraphSAGE,citation_recommendation,0.9409895539283752,1
6,ILCiteR: Evidence-grounded Interpretable Local Citation Recommendation,citation_recommendation,4,SymTax: Symbiotic Relationship and Taxonomy Fusion for Effective Citation Recommendation,citation_recommendation,0.9381725788116455,1
6,ILCiteR: Evidence-grounded Interpretable Local Citation Recommendation,citation_recommendation,5,Content-Based Citation Recommendation,citation_recommendation,0.9374038577079773,1
7,SymTax: Symbiotic Relationship and Taxonomy Fusion for Effective Citation Recommendation,citation_recommendation,1,NeuSub: A Neural Submodular Approach for Citation Recommendation,citation_recommendation,0.9465266466140747,1
7,SymTax: Symbiotic Relationship and Taxonomy Fusion for Effective Citation Recommendation,citation_recommendation,2,Content-Based Citation Recommendation,citation_recommendation,0.9448275566101074,1
7,SymTax: Symbiotic Relationship and Taxonomy Fusion for Effective Citation Recommendation,citation_recommendation,3,A Hybrid Citation Recommendation Model With SciBERT and GraphSAGE,citation_recommendation,0.9432385563850403,1
7,SymTax: Symbiotic Relationship and Taxonomy Fusion for Effective Citation Recommendation,citation_recommendation,4,CiteBART: Learning to Generate Citations for Local Citation Recommendation,citation_recommendation,0.9413045048713684,1
7,SymTax: Symbiotic Relationship and Taxonomy Fusion for Effective Citation Recommendation,citation_recommendation,5,Large-scale Evaluation of Transformer-based Article Encoders on the Task of Citation Recommendation,citation_recommendation,0.9403533935546875,1
8,Deep Learning-Assisted Citation Recommendation System Using Multi- cell RNN Approach,citation_recommendation,1,Research paper recommendation system based on multiple features from citation network,citation_recommendation,0.9463305473327637,1
8,Deep Learning-Assisted Citation Recommendation System Using Multi- cell RNN Approach,citation_recommendation,2,A citation recommendation method based on context correlation,citation_recommendation,0.9448757171630859,1
8,Deep Learning-Assisted Citation Recommendation System Using Multi- cell RNN Approach,citation_recommendation,3,Citation Recommendation with a Content-Sensitive DeepWalk Based Approach,citation_recommendation,0.942621111869812,1
8,Deep Learning-Assisted Citation Recommendation System Using Multi- cell RNN Approach,citation_recommendation,4,A Systematic Review of Citation Recommendation Over the Past Two Decades,citation_recommendation,0.9395895600318909,1
8,Deep Learning-Assisted Citation Recommendation System Using Multi- cell RNN Approach,citation_recommendation,5,A New Citation Recommendation Strategy Based on Term Functions in Related Studies Section,citation_recommendation,0.9374379515647888,1
9,A Systematic Review of Citation Recommendation Over the Past Two Decades,citation_recommendation,1,A New Citation Recommendation Strategy Based on Term Functions in Related Studies Section,citation_recommendation,0.958973228931427,1
9,A Systematic Review of Citation Recommendation Over the Past Two Decades,citation_recommendation,2,A citation recommendation method based on context correlation,citation_recommendation,0.9578090906143188,1
9,A Systematic Review of Citation Recommendation Over the Past Two Decades,citation_recommendation,3,Citation recommendation: approaches and datasets,citation_recommendation,0.9559513330459595,1
9,A Systematic Review of Citation Recommendation Over the Past Two Decades,citation_recommendation,4,A Survey of Citation Recommendation Tasks and Methods,citation_recommendation,0.9516887664794922,1
9,A Systematic Review of Citation Recommendation Over the Past Two Decades,citation_recommendation,5,Bibliographic Network Representation Based Personalized Citation Recommendation,citation_recommendation,0.9505609273910522,1
10,Dual Cloud Bibliographic Network Model for Citation Recommendation Systems,citation_recommendation,1,Bibliographic Network Representation Based Personalized Citation Recommendation,citation_recommendation,0.9462687969207764,1
10,Dual Cloud Bibliographic Network Model for Citation Recommendation Systems,citation_recommendation,2,Citation Recommendation with a Content-Sensitive DeepWalk Based Approach,citation_recommendation,0.9409633278846741,1
10,Dual Cloud Bibliographic Network Model for Citation Recommendation Systems,citation_recommendation,3,Similarity Analysis for Citation Recommendation System using Binary Encoded Data,citation_recommendation,0.9406750202178955,1
10,Dual Cloud Bibliographic Network Model for Citation Recommendation Systems,citation_recommendation,4,Research paper recommendation system based on multiple features from citation network,citation_recommendation,0.9370943903923035,1
10,Dual Cloud Bibliographic Network Model for Citation Recommendation Systems,citation_recommendation,5,A Systematic Review of Citation Recommendation Over the Past Two Decades,citation_recommendation,0.9350118637084961,1
11,Collaborative Filtering With Network Representation Learning for Citation Recommendation,citation_recommendation,1,TNERec: Topic-Aware Network Embedding for Scientific Collaborator Recommendation,collaborator_recommendation,0.9613692760467529,0
11,Collaborative Filtering With Network Representation Learning for Citation Recommendation,citation_recommendation,2,Global Citation Recommendation employing Multi-view Heterogeneous Network Embedding,citation_recommendation,0.9595889449119568,1
11,Collaborative Filtering With Network Representation Learning for Citation Recommendation,citation_recommendation,3,Exploiting Publication Contents and Collaboration Networks for Collaborator Recommendation,collaborator_recommendation,0.9586095213890076,0
11,Collaborative Filtering With Network Representation Learning for Citation Recommendation,citation_recommendation,4,A Hybrid Citation Recommendation Model With SciBERT and GraphSAGE,citation_recommendation,0.9567014575004578,1
11,Collaborative Filtering With Network Representation Learning for Citation Recommendation,citation_recommendation,5,Collaborator Recommendation Based on Dynamic Attribute Network Representation Learning,collaborator_recommendation,0.9529004693031311,0
12,Context-aware legal citation recommendation using deep learning,citation_recommendation,1,SVD-CNN: A Convolutional Neural Network Model with Orthogonal Constraints Based on SVD for Context-Aware Citation Recommendation,citation_recommendation,0.9401059746742249,1
12,Context-aware legal citation recommendation using deep learning,citation_recommendation,2,Content-Based Citation Recommendation,citation_recommendation,0.9352293014526367,1
12,Context-aware legal citation recommendation using deep learning,citation_recommendation,3,A deep learning approach for context-aware citation recommendation using rhetorical zone classification and similarity to overcome cold-start problem,citation_recommendation,0.9306560754776001,1
12,Context-aware legal citation recommendation using deep learning,citation_recommendation,4,ILCiteR: Evidence-grounded Interpretable Local Citation Recommendation,citation_recommendation,0.9294658899307251,1
12,Context-aware legal citation recommendation using deep learning,citation_recommendation,5,ACM-CR: A Manually Annotated Test Collection for Citation Recommendation,citation_recommendation,0.9268936514854431,1
13,Local Citation Recommendation with Hierarchical-Attention Text Encoder and SciBERT-based Reranking,citation_recommendation,1,A Hybrid Citation Recommendation Model With SciBERT and GraphSAGE,citation_recommendation,0.940163791179657,1
13,Local Citation Recommendation with Hierarchical-Attention Text Encoder and SciBERT-based Reranking,citation_recommendation,2,Content-Based Citation Recommendation,citation_recommendation,0.9382150173187256,1
13,Local Citation Recommendation with Hierarchical-Attention Text Encoder and SciBERT-based Reranking,citation_recommendation,3,ILCiteR: Evidence-grounded Interpretable Local Citation Recommendation,citation_recommendation,0.9335217475891113,1
13,Local Citation Recommendation with Hierarchical-Attention Text Encoder and SciBERT-based Reranking,citation_recommendation,4,Navigation-based candidate expansion and pretrained language models for citation recommendation,citation_recommendation,0.9302002191543579,1
13,Local Citation Recommendation with Hierarchical-Attention Text Encoder and SciBERT-based Reranking,citation_recommendation,5,SymTax: Symbiotic Relationship and Taxonomy Fusion for Effective Citation Recommendation,citation_recommendation,0.926298975944519,1
14,Graph Neural Collaborative Topic Model for Citation Recommendation,citation_recommendation,1,Joint Model Feature Regression and Topic Learning for Global Citation Recommendation,citation_recommendation,0.9561389088630676,1
14,Graph Neural Collaborative Topic Model for Citation Recommendation,citation_recommendation,2,A Hybrid Citation Recommendation Model With SciBERT and GraphSAGE,citation_recommendation,0.9554030895233154,1
14,Graph Neural Collaborative Topic Model for Citation Recommendation,citation_recommendation,3,SVD-CNN: A Convolutional Neural Network Model with Orthogonal Constraints Based on SVD for Context-Aware Citation Recommendation,citation_recommendation,0.9535492062568665,1
14,Graph Neural Collaborative Topic Model for Citation Recommendation,citation_recommendation,4,Bibliographic Network Representation Based Personalized Citation Recommendation,citation_recommendation,0.9501081705093384,1
14,Graph Neural Collaborative Topic Model for Citation Recommendation,citation_recommendation,5,Collaborative Filtering With Network Representation Learning for Citation Recommendation,citation_recommendation,0.948745608329773,1
15,A context-aware citation recommendation model with BERT and graph convolutional networks,citation_recommendation,1,ConvCN: A CNN-Based Citation Network Embedding Algorithm towards Citation Recommendation,citation_recommendation,0.9572175145149231,1
15,A context-aware citation recommendation model with BERT and graph convolutional networks,citation_recommendation,2,A Hybrid Citation Recommendation Model With SciBERT and GraphSAGE,citation_recommendation,0.954570472240448,1
15,A context-aware citation recommendation model with BERT and graph convolutional networks,citation_recommendation,3,SVD-CNN: A Convolutional Neural Network Model with Orthogonal Constraints Based on SVD for Context-Aware Citation Recommendation,citation_recommendation,0.9539394974708557,1
15,A context-aware citation recommendation model with BERT and graph convolutional networks,citation_recommendation,4,DocCit2Vec: Citation Recommendation via Embedding of Content and Structural Contexts,citation_recommendation,0.953216552734375,1
15,A context-aware citation recommendation model with BERT and graph convolutional networks,citation_recommendation,5,Attention-Based Personalized Encoder-Decoder Model for Local Citation Recommendation,citation_recommendation,0.9529504776000977,1
16,Citation recommendation: approaches and datasets,citation_recommendation,1,A Survey of Citation Recommendation Tasks and Methods,citation_recommendation,0.9641348719596863,1
16,Citation recommendation: approaches and datasets,citation_recommendation,2,A Survey on Citation Recommendation System,citation_recommendation,0.9594640135765076,1
16,Citation recommendation: approaches and datasets,citation_recommendation,3,A Systematic Review of Citation Recommendation Over the Past Two Decades,citation_recommendation,0.9559513330459595,1
16,Citation recommendation: approaches and datasets,citation_recommendation,4,Bibliographic Network Representation Based Personalized Citation Recommendation,citation_recommendation,0.9477061033248901,1
16,Citation recommendation: approaches and datasets,citation_recommendation,5,Deep learning in citation recommendation models survey,citation_recommendation,0.944911003112793,1
17,Deep learning in citation recommendation models survey,citation_recommendation,1,A Survey of Citation Recommendation Tasks and Methods,citation_recommendation,0.9452366828918457,1
17,Deep learning in citation recommendation models survey,citation_recommendation,2,Citation recommendation: approaches and datasets,citation_recommendation,0.944911003112793,1
17,Deep learning in citation recommendation models survey,citation_recommendation,3,A New Citation Recommendation Strategy Based on Term Functions in Related Studies Section,citation_recommendation,0.9435685873031616,1
17,Deep learning in citation recommendation models survey,citation_recommendation,4,A Systematic Review of Citation Recommendation Over the Past Two Decades,citation_recommendation,0.9408748149871826,1
17,Deep learning in citation recommendation models survey,citation_recommendation,5,A deep learning approach for context-aware citation recommendation using rhetorical zone classification and similarity to overcome cold-start problem,citation_recommendation,0.9385542869567871,1
18,Automated citation recommendation tools encourage questionable citations,citation_recommendation,1,Popularity Bias in Recommender Systems: The Search for Fairness in the Long Tail,fairness_recommender,0.9093853235244751,0
18,Automated citation recommendation tools encourage questionable citations,citation_recommendation,2,Counteracting Bias and Increasing Fairness in Search and Recommender Systems,fairness_recommender,0.90337735414505,0
18,Automated citation recommendation tools encourage questionable citations,citation_recommendation,3,"Challenges, Benefits and Recommendations for Using Generative Artificial Intelligence in Academic Writing - A Case of ChatGPT",collaborator_recommendation,0.9000641703605652,0
18,Automated citation recommendation tools encourage questionable citations,citation_recommendation,4,Exploring User Opinions of Fairness in Recommender Systems,fairness_recommender,0.8987504243850708,0
18,Automated citation recommendation tools encourage questionable citations,citation_recommendation,5,Fairness in recommender systems: research landscape and future directions,fairness_recommender,0.8966995477676392,0
19,A Survey on Citation Recommendation System,citation_recommendation,1,Citation recommendation: approaches and datasets,citation_recommendation,0.9594640135765076,1
19,A Survey on Citation Recommendation System,citation_recommendation,2,A Systematic Review of Citation Recommendation Over the Past Two Decades,citation_recommendation,0.9451444745063782,1
19,A Survey on Citation Recommendation System,citation_recommendation,3,A Survey on Recommendation System for Future Researchers Using Classifiers,collaborator_recommendation,0.9388637542724609,0
19,A Survey on Citation Recommendation System,citation_recommendation,4,Similarity Analysis for Citation Recommendation System using Binary Encoded Data,citation_recommendation,0.9379597902297974,1
19,A Survey on Citation Recommendation System,citation_recommendation,5,Research paper recommendation system based on multiple features from citation network,citation_recommendation,0.9369974136352539,1
20,A deep learning approach for context-aware citation recommendation using rhetorical zone classification and similarity to overcome cold-start problem,citation_recommendation,1,A Systematic Review of Citation Recommendation Over the Past Two Decades,citation_recommendation,0.9448100328445435,1
20,A deep learning approach for context-aware citation recommendation using rhetorical zone classification and similarity to overcome cold-start problem,citation_recommendation,2,A New Citation Recommendation Strategy Based on Term Functions in Related Studies Section,citation_recommendation,0.9438432455062866,1
20,A deep learning approach for context-aware citation recommendation using rhetorical zone classification and similarity to overcome cold-start problem,citation_recommendation,3,Citation Recommendation with a Content-Sensitive DeepWalk Based Approach,citation_recommendation,0.9427515864372253,1
20,A deep learning approach for context-aware citation recommendation using rhetorical zone classification and similarity to overcome cold-start problem,citation_recommendation,4,Citation recommendation based on argumentative zoning of user queries,citation_recommendation,0.9426929950714111,1
20,A deep learning approach for context-aware citation recommendation using rhetorical zone classification and similarity to overcome cold-start problem,citation_recommendation,5,A context-aware citation recommendation model with BERT and graph convolutional networks,citation_recommendation,0.9421037435531616,1
21,Integrating Title and Citation Context Semantics of Citing Paper via Weighted Attentions for Local Citation Recommendation,citation_recommendation,1,Dual Attention Model for Citation Recommendation,citation_recommendation,0.9579287171363831,1
21,Integrating Title and Citation Context Semantics of Citing Paper via Weighted Attentions for Local Citation Recommendation,citation_recommendation,2,A LSTM Based Model for Personalized Context-Aware Citation Recommendation,citation_recommendation,0.9521502256393433,1
21,Integrating Title and Citation Context Semantics of Citing Paper via Weighted Attentions for Local Citation Recommendation,citation_recommendation,3,A Hybrid Citation Recommendation Model With SciBERT and GraphSAGE,citation_recommendation,0.951923131942749,1
21,Integrating Title and Citation Context Semantics of Citing Paper via Weighted Attentions for Local Citation Recommendation,citation_recommendation,4,Attention-Based Personalized Encoder-Decoder Model for Local Citation Recommendation,citation_recommendation,0.950222373008728,1
21,Integrating Title and Citation Context Semantics of Citing Paper via Weighted Attentions for Local Citation Recommendation,citation_recommendation,5,A context-aware citation recommendation model with BERT and graph convolutional networks,citation_recommendation,0.9501929879188538,1
22,Large-scale Evaluation of Transformer-based Article Encoders on the Task of Citation Recommendation,citation_recommendation,1,Learning Neural Textual Representations for Citation Recommendation,citation_recommendation,0.9454673528671265,1
22,Large-scale Evaluation of Transformer-based Article Encoders on the Task of Citation Recommendation,citation_recommendation,2,NeuSub: A Neural Submodular Approach for Citation Recommendation,citation_recommendation,0.9427251815795898,1
22,Large-scale Evaluation of Transformer-based Article Encoders on the Task of Citation Recommendation,citation_recommendation,3,Navigation-based candidate expansion and pretrained language models for citation recommendation,citation_recommendation,0.9416184425354004,1
22,Large-scale Evaluation of Transformer-based Article Encoders on the Task of Citation Recommendation,citation_recommendation,4,A Hybrid Citation Recommendation Model With SciBERT and GraphSAGE,citation_recommendation,0.9409787058830261,1
22,Large-scale Evaluation of Transformer-based Article Encoders on the Task of Citation Recommendation,citation_recommendation,5,SymTax: Symbiotic Relationship and Taxonomy Fusion for Effective Citation Recommendation,citation_recommendation,0.9403533935546875,1
23,Content-Based Citation Recommendation,citation_recommendation,1,A Hybrid Citation Recommendation Model With SciBERT and GraphSAGE,citation_recommendation,0.9596447348594666,1
23,Content-Based Citation Recommendation,citation_recommendation,2,ACM-CR: A Manually Annotated Test Collection for Citation Recommendation,citation_recommendation,0.9580164551734924,1
23,Content-Based Citation Recommendation,citation_recommendation,3,A Survey of Citation Recommendation Tasks and Methods,citation_recommendation,0.9479467868804932,1
23,Content-Based Citation Recommendation,citation_recommendation,4,HybridCite: A Hybrid Model for Context-Aware Citation Recommendation,citation_recommendation,0.9463976621627808,1
23,Content-Based Citation Recommendation,citation_recommendation,5,SymTax: Symbiotic Relationship and Taxonomy Fusion for Effective Citation Recommendation,citation_recommendation,0.9448275566101074,1
24,Deep memory network with Bi-LSTM for personalized context-aware citation recommendation,citation_recommendation,1,A LSTM Based Model for Personalized Context-Aware Citation Recommendation,citation_recommendation,0.9763063192367554,1
24,Deep memory network with Bi-LSTM for personalized context-aware citation recommendation,citation_recommendation,2,Attentive Stacked Denoising Autoencoder With Bi-LSTM for Personalized Context-Aware Citation Recommendation,citation_recommendation,0.9632300734519958,1
24,Deep memory network with Bi-LSTM for personalized context-aware citation recommendation,citation_recommendation,3,SVD-CNN: A Convolutional Neural Network Model with Orthogonal Constraints Based on SVD for Context-Aware Citation Recommendation,citation_recommendation,0.9549490809440613,1
24,Deep memory network with Bi-LSTM for personalized context-aware citation recommendation,citation_recommendation,4,A context-aware citation recommendation model with BERT and graph convolutional networks,citation_recommendation,0.950820803642273,1
24,Deep memory network with Bi-LSTM for personalized context-aware citation recommendation,citation_recommendation,5,Integrating Title and Citation Context Semantics of Citing Paper via Weighted Attentions for Local Citation Recommendation,citation_recommendation,0.9448369741439819,1
25,Research paper recommendation system based on multiple features from citation network,citation_recommendation,1,Citation Recommendation with a Content-Sensitive DeepWalk Based Approach,citation_recommendation,0.9592127799987793,1
25,Research paper recommendation system based on multiple features from citation network,citation_recommendation,2,Bibliographic Network Representation Based Personalized Citation Recommendation,citation_recommendation,0.9517140984535217,1
25,Research paper recommendation system based on multiple features from citation network,citation_recommendation,3,Deep Learning-Assisted Citation Recommendation System Using Multi- cell RNN Approach,citation_recommendation,0.9463305473327637,1
25,Research paper recommendation system based on multiple features from citation network,citation_recommendation,4,A Personalization-Oriented Academic Literature Recommendation Method,collaborator_recommendation,0.9459280371665955,0
25,Research paper recommendation system based on multiple features from citation network,citation_recommendation,5,A citation recommendation method based on context correlation,citation_recommendation,0.9455936551094055,1
26,Citation Recommendation for Research Papers via Knowledge Graphs,citation_recommendation,1,Bibliographic Network Representation Based Personalized Citation Recommendation,citation_recommendation,0.9457007050514221,1
26,Citation Recommendation for Research Papers via Knowledge Graphs,citation_recommendation,2,A Hybrid Citation Recommendation Model With SciBERT and GraphSAGE,citation_recommendation,0.9438542723655701,1
26,Citation Recommendation for Research Papers via Knowledge Graphs,citation_recommendation,3,Supporting Your Idea Reasonably: A Knowledge-Aware Topic Reasoning Strategy for Citation Recommendation,citation_recommendation,0.9371045827865601,1
26,Citation Recommendation for Research Papers via Knowledge Graphs,citation_recommendation,4,A Survey of Citation Recommendation Tasks and Methods,citation_recommendation,0.9365677237510681,1
26,Citation Recommendation for Research Papers via Knowledge Graphs,citation_recommendation,5,ConvCN: A CNN-Based Citation Network Embedding Algorithm towards Citation Recommendation,citation_recommendation,0.9360670447349548,1
27,Attentive Stacked Denoising Autoencoder With Bi-LSTM for Personalized Context-Aware Citation Recommendation,citation_recommendation,1,Deep memory network with Bi-LSTM for personalized context-aware citation recommendation,citation_recommendation,0.9632300734519958,1
27,Attentive Stacked Denoising Autoencoder With Bi-LSTM for Personalized Context-Aware Citation Recommendation,citation_recommendation,2,A LSTM Based Model for Personalized Context-Aware Citation Recommendation,citation_recommendation,0.9546298384666443,1
27,Attentive Stacked Denoising Autoencoder With Bi-LSTM for Personalized Context-Aware Citation Recommendation,citation_recommendation,3,A context-aware citation recommendation model with BERT and graph convolutional networks,citation_recommendation,0.9445270299911499,1
27,Attentive Stacked Denoising Autoencoder With Bi-LSTM for Personalized Context-Aware Citation Recommendation,citation_recommendation,4,SVD-CNN: A Convolutional Neural Network Model with Orthogonal Constraints Based on SVD for Context-Aware Citation Recommendation,citation_recommendation,0.9414289593696594,1
27,Attentive Stacked Denoising Autoencoder With Bi-LSTM for Personalized Context-Aware Citation Recommendation,citation_recommendation,5,Attention-Based Personalized Encoder-Decoder Model for Local Citation Recommendation,citation_recommendation,0.9372146129608154,1
28,Global Citation Recommendation employing Multi-view Heterogeneous Network Embedding,citation_recommendation,1,Collaborative Filtering With Network Representation Learning for Citation Recommendation,citation_recommendation,0.9595889449119568,1
28,Global Citation Recommendation employing Multi-view Heterogeneous Network Embedding,citation_recommendation,2,DocCit2Vec: Citation Recommendation via Embedding of Content and Structural Contexts,citation_recommendation,0.9561635255813599,1
28,Global Citation Recommendation employing Multi-view Heterogeneous Network Embedding,citation_recommendation,3,TNERec: Topic-Aware Network Embedding for Scientific Collaborator Recommendation,collaborator_recommendation,0.9549350738525391,0
28,Global Citation Recommendation employing Multi-view Heterogeneous Network Embedding,citation_recommendation,4,Cross-language Citation Recommendation via Hierarchical Representation Learning on Heterogeneous Graph,citation_recommendation,0.9538143873214722,1
28,Global Citation Recommendation employing Multi-view Heterogeneous Network Embedding,citation_recommendation,5,Citation Recommendation as Edge Prediction in Heterogeneous Bibliographic Network: A Network Representation Approach,citation_recommendation,0.9511131048202515,1
29,Chronological citation recommendation with time preference,citation_recommendation,1,A citation recommendation method based on context correlation,citation_recommendation,0.9473011493682861,1
29,Chronological citation recommendation with time preference,citation_recommendation,2,A Systematic Review of Citation Recommendation Over the Past Two Decades,citation_recommendation,0.9430066347122192,1
29,Chronological citation recommendation with time preference,citation_recommendation,3,Citation Recommendation with a Content-Sensitive DeepWalk Based Approach,citation_recommendation,0.9410272836685181,1
29,Chronological citation recommendation with time preference,citation_recommendation,4,Time-aware Neural Collaborative Filtering with Multi-dimensional Features on Academic Paper Recommendation,collaborator_recommendation,0.939568281173706,0
29,Chronological citation recommendation with time preference,citation_recommendation,5,Bibliographic Network Representation Based Personalized Citation Recommendation,citation_recommendation,0.9390478134155273,1
30,A Survey of Citation Recommendation Tasks and Methods,citation_recommendation,1,Citation recommendation: approaches and datasets,citation_recommendation,0.9641348719596863,1
30,A Survey of Citation Recommendation Tasks and Methods,citation_recommendation,2,A Hybrid Citation Recommendation Model With SciBERT and GraphSAGE,citation_recommendation,0.9540262222290039,1
30,A Survey of Citation Recommendation Tasks and Methods,citation_recommendation,3,A Systematic Review of Citation Recommendation Over the Past Two Decades,citation_recommendation,0.9516887664794922,1
30,A Survey of Citation Recommendation Tasks and Methods,citation_recommendation,4,Content-Based Citation Recommendation,citation_recommendation,0.9479467868804932,1
30,A Survey of Citation Recommendation Tasks and Methods,citation_recommendation,5,Deep learning in citation recommendation models survey,citation_recommendation,0.9452366828918457,1
